                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.64678,                0.36886,                 1.0084,                0.98655,                0.99831,                0.99478,                0.86263,                 0.6168,                0.26517,                0.98814,             0.00026511,             0.00026511,             0.00026511
                     54,                 0.6426,                0.37057,                 1.0002,                 0.9778,                0.99129,                0.99464,                0.85751,                0.62386,                0.28157,                0.98797,             0.00026334,             0.00026334,             0.00026334
                     55,                 0.6239,                0.36001,                0.99662,                0.99145,                0.99619,                0.99382,                0.85919,                0.60115,                0.25668,                0.98874,             0.00026157,             0.00026157,             0.00026157
                     56,                0.63344,                0.36034,                0.99688,                0.98745,                 0.9984,                0.99412,                0.86195,                0.60116,                0.26325,                0.98216,             0.00025981,             0.00025981,             0.00025981
                     57,                0.62885,                0.36029,                0.99941,                0.99228,                 0.9984,                0.99448,                0.86472,                0.59869,                0.26449,                0.97751,             0.00025804,             0.00025804,             0.00025804
                     58,                0.63106,                 0.3564,                  0.994,                0.99322,                 0.9984,                0.99472,                0.86446,                 0.5949,                0.26281,                0.97092,             0.00025627,             0.00025627,             0.00025627
                     59,                 0.6247,                0.36256,                0.99205,                0.98927,                0.99844,                0.99489,                0.86394,                0.59175,                0.25689,                 0.9724,             0.00025451,             0.00025451,             0.00025451
                     60,                0.62492,                0.35679,                0.98647,                0.99258,                0.99848,                0.99489,                0.86367,                0.60393,                0.25222,                0.97659,             0.00025274,             0.00025274,             0.00025274
                     61,                0.63267,                0.34954,                0.99115,                0.99146,                0.99862,                0.99495,                0.86397,                0.61247,                0.26007,                0.98565,             0.00025097,             0.00025097,             0.00025097
                     62,                0.64694,                0.35495,                0.99367,                0.99057,                0.99827,                0.99398,                0.86659,                0.59028,                0.25307,                0.97881,              0.0002492,              0.0002492,              0.0002492
                     63,                0.63779,                0.35131,                 1.0039,                0.99024,                0.99847,                0.99483,                0.85878,                0.60862,                0.25857,                0.99073,             0.00024744,             0.00024744,             0.00024744
                     64,                 0.6238,                0.34423,                0.98961,                0.98804,                0.99869,                0.99495,                 0.8629,                0.60192,                0.25576,                0.98379,             0.00024567,             0.00024567,             0.00024567
                     65,                0.62013,                0.34891,                0.99254,                0.99157,                 0.9984,                0.99491,                0.85881,                0.59135,                0.25661,                0.97531,              0.0002439,              0.0002439,              0.0002439
                     66,                0.62372,                0.34986,                0.98581,                0.98876,                0.99574,                0.99441,                0.86379,                0.59136,                0.25684,                0.97707,             0.00024214,             0.00024214,             0.00024214
                     67,                0.62897,                0.35003,                 0.9917,                0.99256,                0.99752,                0.99356,                0.85389,                0.62056,                0.26668,                0.98653,             0.00024037,             0.00024037,             0.00024037
                     68,                 0.6165,                0.34958,                0.98531,                0.99014,                0.99748,                0.99388,                0.86653,                0.61656,                0.25614,                0.98745,              0.0002386,              0.0002386,              0.0002386
                     69,                0.62493,                0.33975,                0.98827,                0.99327,                0.99834,                0.99355,                0.87073,                0.58844,                0.25022,                0.97567,             0.00023683,             0.00023683,             0.00023683
